id_trabajador,estado,antiguedad,curso,curso_id
1422,Guanajuato,36.0,Atención de asuntos jurídicos,1
1719,Ciudad de México,32.0,Atención de asuntos jurídicos,1
385,Jalisco,31.0,Atención de asuntos jurídicos,1
563,México,31.0,Atención de asuntos jurídicos,1
125,Yucatán,31.0,Atención de asuntos jurídicos,1
454,Michoacán,31.0,Atención de asuntos jurídicos,1
1039,Nuevo León,31.0,Atención de asuntos jurídicos,1
1794,Morelos,31.0,Atención de asuntos jurídicos,1
754,Ciudad de México,31.0,Atención de asuntos jurídicos,1
764,Nuevo León,31.0,Atención de asuntos jurídicos,1
1844,Guanajuato,31.0,Atención de asuntos jurídicos,1
596,México,30.0,Atención de asuntos jurídicos,1
747,México,30.0,Atención de asuntos jurídicos,1
850,México,30.0,Atención de asuntos jurídicos,1
990,Querétaro,30.0,Atención de asuntos jurídicos,1
1612,Chiapas,30.0,Atención de asuntos jurídicos,1
1722,Tabasco,30.0,Atención de asuntos jurídicos,1
1732,Nuevo León,30.0,Atención de asuntos jurídicos,1
17,Ciudad de México,30.0,Atención de asuntos jurídicos,1
843,Ciudad de México,30.0,Atención de asuntos jurídicos,1
946,Chiapas,30.0,Atención de asuntos jurídicos,2
2097,Sinaloa,30.0,Atención de asuntos jurídicos,2
1885,Guerrero,29.0,Atención de asuntos jurídicos,2
560,Ciudad de México,29.0,Atención de asuntos jurídicos,2
1005,Veracruz,29.0,Atención de asuntos jurídicos,2
1428,Aguascalientes,29.0,Atención de asuntos jurídicos,2
1593,Puebla,29.0,Atención de asuntos jurídicos,2
1986,Michoacán,29.0,Atención de asuntos jurídicos,2
2166,San Luis Potosí,29.0,Atención de asuntos jurídicos,2
1829,San Luis Potosí,29.0,Atención de asuntos jurídicos,2
2121,Oaxaca,29.0,Atención de asuntos jurídicos,2
1386,México,28.0,Atención de asuntos jurídicos,2
147,Guerrero,28.0,Atención de asuntos jurídicos,2
423,Tlaxcala,28.0,Atención de asuntos jurídicos,2
1823,Durango,28.0,Atención de asuntos jurídicos,2
1968,Zacatecas,28.0,Atención de asuntos jurídicos,2
1625,Hidalgo,28.0,Atención de asuntos jurídicos,2
2113,Michoacán,28.0,Atención de asuntos jurídicos,2
61,Durango,27.0,Atención de asuntos jurídicos,2
